MI 2008   349741   404795   445162   550016   583527   707034   908992  1052874  1163591  1261125  1421346
MI 2009   366724   387846   449179   529850   565268   680592   810884   933797  1020647  1040820  1092001
MI 2010   704417   904673  1672686  2678578  2934056  3724609  4685402  5321592  5305608  5199419  5468644
MN 2101   124284   149648   172029   166728   186645   179841   177162   177480   188009   179774   181282
MN 2102    30240    64766    91036    91258   113320   110458   110594   110992   130690   132451   148207
MN 2103    88352   172533   216365   213998   216826   216670   248585   237399   239308   212466   216732
MN 2104   174000   179208   195928   194787   204525   200159   191899   178746   186852   172837   182056
MN 2105   271965   277301   302277   310321   332039   335424   361455   413055   496348   557254   683500
MN 2106   508331   685266   812818   955912  1048773  1210889  1508779  1785771  1858802  2063798  2323929
MN 2107   113870   118296   136440   137970   148939   149433   149582   141834   137320   123604   121954
MN 2108   216799   208911   226520   240146   260507   274213   297891   308650   319295   315323   331475
MN 2109   220067   219779   233712   252833   280726   305396   367917   451044   519346   617592   730344
MS 2201   101117   139423   171672   195432   195903   186610   159401   134315   120141   105655   104058
MS 2202   183053   186300   174991   177792   194388   181596   169807   181612   218327   235675   297255
MS 2203   125014   145580   155354   175294   188564   176153   164354   177824   214695   222240   250688
MS 2204   154316   185241   211985   254411   268724   253821   235640   202707   199862   184184   182701
MS 2205   220868   239781   209998   235057   261918   237453   222883   222310   270042   294760   352999
MS 2206   199268   213836   198611   220332   234972   220843   213134   213208   236845   242232   257538
MS 2207   268984   272775   234434   262393   297501   320790   355626   372976   418570   414889   419065
MS 2208    96398   140351   145273   158692   176119   169592   156695   152599   177414   184865   203471
MS 2209   145706   194057   196777   224519   247192   265757   268810   268695   302838   307082   327909
MS 2210    56546    79770    91523   105899   118515   166299   231791   290666   361904   381634   448974
MO 2301   831038   829706   893482   979859   966586  1000460  1093314  1155816  1171383  1185552  1265201
MO 2302  1073348  1206640  1283024  1420475  1479991  1650515  1871524  2064069  2031950  2083755  2198238
MO 2303   342339   327381   311505   300617   294610   273541   291847   314990   368541   403602   472883
MO 2304   425471   430548   408928   405643   432308   423634   425405   468141   570270   637079   779640
MO 2305   345258   371699   363512   357891   400561   394821   452990   520189   612705   655022   729367
MO 2306    89211   127361   143604   164882   210608   211682   184733   153296   161837   152063   149882
MT 2401    52636    83003    96996   100468   119652   137018   153868   179473   221575   232666   285004
MT 2402    75688    89896    95940    89949    90025    86639    88754    92255   100624   105524   126851
MT 2403    16110    26812    65420    67023    69868    68591    77371    67884    68413    67389    68031
MT 2404    57367    76201   109866   101720    99678   111242   134516   143593   154349   153684   166577
MT 2405    24179    51678    77747    74679    85994    98417   120723   124429   149960   158029   179987
MT 2406     6803    26364    64012    65777    62596    56416    67120    56454    57354    50305    46386
MT 2407     7886    22099    38908    37938    31652    32686    32426    30304    34413    31482    29411
NE 2501    32436    53461    84716   102958   101094   101912   104313    94759    98189    90999    90363
NE 2502    43838    64251    69696    64140    61926    51395    46595    41092    41449    36895    34221
NE 2503   144850   163000   172518   181859   166718   155785   147808   144225   148910   140545   146376
NE 2505    98239   119160   126550   130977   121235   120536   119080   126694   136268   134005   146379
NE 2506   412491   450630   495047   539646   536852   587061   708533   804681   871332   924332  1040820
NE 2507    45814    58036    72194    82520    77473    76033    72824    70528    79040    71438    72038
NE 2508    87803    89643    87954    88651    76952    78487    72679    71756    70177    66031    67337
NE 2509   200829   194033   187697   187212   173584   154301   139498   129758   124460   114140   113729
NV 2601    24803    38994    39648    47219    55807    74860   120359   171894   286924   380396   517889
NV 2602    11136    19189    19851    24777    26394    23822    24150    27720    30708    50603    61911
NV 2603     5229    15143     8623     7517     8789    10629    10655    11946    13542    17612    21572
NV 2604     1167     8549     9285    11545    19257    50772   130114   277178   469319   753222  1396885
NH 2701    43264    44814    49763    53375    54314    52093    53613    52835    57421    60227    60863
NH 2702   368324   385758   393320   411918   437210   481149   553308   684846   863189  1049025  1174923
NJ 2801  1312080  1816361  2259595  2871047  2940874  3327865  3974241  4493935  4366375  4399595  4776329
NJ 2802   542523   687289   859219  1118205  1162207  1427590  1973379  2508995  2814435  3126955  3410745
NJ 2803    29066    33517    37086    52082    57084    79874   119162   165234   184013   203638   227276
NM 2901     6002    22789    23631    37111    42886    47777    92388    97620   140048   154855   191671
NM 2902    78622    92579   101969   105369   129070   139320   138571   148039   181783   220878   274718
NM 2903     6170    52328    48110    55893    60977    66584    71189    75035    76192    76869    80460
NM 2904    12934    15023    21601    21740    24356    24450    21093    23654    28346    52416    58516
NM 2905    58026    62961    70875    89074   122601   198288   333711   392388   537718   617584   749124
